Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Ginger Variant-620,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–9g/day,Dizziness,May interact with blood thinners,India
Bitter Leaf Variant-621,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–8g/day,None known,May interact with blood thinners,Asia
Hibiscus Variant-622,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–8g/day,Stomach upset,Avoid with laxatives,Africa
Garlic Variant-623,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–9g/day,None known,Enhances anticoagulants,Europe
Ginger Variant-624,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–10g/day,Liver stress (overdose),Enhances anticoagulants,Europe
Aloe Vera Variant-625,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–6g/day,Mild heartburn,May interact with blood thinners,Africa
Aloe Vera Variant-626,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–6g/day,None known,None known,India
Moringa Variant-627,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–7g/day,None known,May interact with blood thinners,Europe
Ginger Variant-628,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–9g/day,None known,Avoid with laxatives,South America
Turmeric Variant-629,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–10g/day,Dizziness,Enhances anticoagulants,India
Hibiscus Variant-630,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–8g/day,Mild heartburn,Avoid with laxatives,Middle East
Aloe Vera Variant-631,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–7g/day,None known,Enhances anticoagulants,Africa
Ginger Variant-632,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–7g/day,Stomach upset,May interact with blood thinners,Middle East
Garlic Variant-633,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–8g/day,Mild heartburn,None known,India
Scent Leaf Variant-634,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–7g/day,None known,Avoid with diabetes drugs,South America
Bitter Leaf Variant-635,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–8g/day,Stomach upset,None known,India
Hibiscus Variant-636,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–10g/day,Dizziness,May interact with blood thinners,India
Garlic Variant-637,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,None known,None known,Asia
Aloe Vera Variant-638,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–10g/day,None known,May interact with blood thinners,Africa
Moringa Variant-639,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–7g/day,Mild heartburn,Avoid with laxatives,Middle East
Clove Variant-640,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–6g/day,Liver stress (overdose),None known,Middle East
Hibiscus Variant-641,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–7g/day,None known,Enhances anticoagulants,Asia
Clove Variant-642,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–8g/day,Liver stress (overdose),Avoid with laxatives,Europe
Moringa Variant-643,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–9g/day,Stomach upset,Avoid with laxatives,Middle East
Aloe Vera Variant-644,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Dizziness,None known,South America
Neem Variant-645,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–8g/day,Liver stress (overdose),Enhances anticoagulants,South America
Hibiscus Variant-646,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–7g/day,Liver stress (overdose),None known,South America
Scent Leaf Variant-647,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–6g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Scent Leaf Variant-648,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–8g/day,Stomach upset,Avoid with diabetes drugs,Europe
Turmeric Variant-649,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–7g/day,Dizziness,Enhances anticoagulants,Middle East
Scent Leaf Variant-650,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–7g/day,Dizziness,None known,Asia
Moringa Variant-651,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–8g/day,Liver stress (overdose),Enhances anticoagulants,Asia
Scent Leaf Variant-652,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–10g/day,Stomach upset,Enhances anticoagulants,Asia
Neem Variant-653,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–8g/day,Stomach upset,Avoid with diabetes drugs,Europe
Clove Variant-654,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–10g/day,Dizziness,Enhances anticoagulants,Africa
Moringa Variant-655,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–8g/day,Liver stress (overdose),Enhances anticoagulants,Africa
Garlic Variant-656,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–10g/day,Liver stress (overdose),May interact with blood thinners,Europe
Turmeric Variant-657,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,Dizziness,Avoid with diabetes drugs,South America
Neem Variant-658,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–10g/day,Liver stress (overdose),None known,Europe
Bitter Leaf Variant-659,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–10g/day,Liver stress (overdose),None known,Africa
Aloe Vera Variant-660,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–9g/day,Stomach upset,May interact with blood thinners,South America
Ginger Variant-661,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–7g/day,None known,Avoid with laxatives,Asia
Turmeric Variant-662,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–8g/day,Dizziness,Avoid with laxatives,India
Neem Variant-663,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–10g/day,Liver stress (overdose),May interact with blood thinners,South America
Aloe Vera Variant-664,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–10g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Clove Variant-665,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–7g/day,Mild heartburn,Avoid with laxatives,Africa
Aloe Vera Variant-666,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,None known,Enhances anticoagulants,South America
Neem Variant-667,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–8g/day,Dizziness,Avoid with diabetes drugs,South America
Aloe Vera Variant-668,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–6g/day,Mild heartburn,May interact with blood thinners,Asia
Hibiscus Variant-669,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–6g/day,Dizziness,Avoid with laxatives,South America
Clove Variant-670,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–7g/day,Stomach upset,None known,Europe
Clove Variant-671,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–6g/day,Dizziness,Enhances anticoagulants,Asia
Clove Variant-672,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–7g/day,Stomach upset,None known,Asia
Aloe Vera Variant-673,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Liver stress (overdose),Enhances anticoagulants,Europe
Aloe Vera Variant-674,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–6g/day,Mild heartburn,None known,Europe
Moringa Variant-675,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–6g/day,Stomach upset,Avoid with laxatives,Middle East
Hibiscus Variant-676,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–6g/day,Mild heartburn,None known,Europe
Scent Leaf Variant-677,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–7g/day,Dizziness,None known,Europe
Hibiscus Variant-678,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–6g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Garlic Variant-679,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,None known,None known,Africa
Bitter Leaf Variant-680,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–7g/day,Stomach upset,Enhances anticoagulants,Europe
Scent Leaf Variant-681,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–10g/day,Liver stress (overdose),Enhances anticoagulants,India
Garlic Variant-682,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–9g/day,None known,Avoid with diabetes drugs,South America
Hibiscus Variant-683,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–9g/day,None known,Avoid with laxatives,Asia
Bitter Leaf Variant-684,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–10g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Turmeric Variant-685,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,Liver stress (overdose),None known,India
Hibiscus Variant-686,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–10g/day,Dizziness,Avoid with diabetes drugs,Middle East
Hibiscus Variant-687,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,None known,Avoid with laxatives,India
Garlic Variant-688,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–9g/day,Dizziness,Enhances anticoagulants,Africa
Moringa Variant-689,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–10g/day,Stomach upset,Avoid with laxatives,Europe
Hibiscus Variant-690,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,Liver stress (overdose),Avoid with diabetes drugs,Europe
Garlic Variant-691,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–7g/day,Dizziness,Enhances anticoagulants,India
Hibiscus Variant-692,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–6g/day,Liver stress (overdose),None known,Asia
Hibiscus Variant-693,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–7g/day,Dizziness,None known,Middle East
Aloe Vera Variant-694,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–7g/day,Dizziness,Avoid with diabetes drugs,India
Clove Variant-695,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–8g/day,Dizziness,None known,India
Turmeric Variant-696,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–10g/day,Mild heartburn,Avoid with diabetes drugs,South America
Bitter Leaf Variant-697,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–8g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Neem Variant-698,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–8g/day,Stomach upset,None known,Europe
Clove Variant-699,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–7g/day,Stomach upset,Enhances anticoagulants,Africa
Scent Leaf Variant-700,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–7g/day,Mild heartburn,May interact with blood thinners,South America
Turmeric Variant-701,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–9g/day,None known,Avoid with diabetes drugs,Middle East
Moringa Variant-702,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–9g/day,Liver stress (overdose),Avoid with laxatives,India
Scent Leaf Variant-703,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–9g/day,Mild heartburn,Avoid with laxatives,India
Aloe Vera Variant-704,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Stomach upset,Avoid with laxatives,South America
Ginger Variant-705,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–9g/day,Liver stress (overdose),None known,Middle East
Hibiscus Variant-706,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–8g/day,Stomach upset,May interact with blood thinners,Europe
Aloe Vera Variant-707,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–7g/day,Dizziness,Avoid with diabetes drugs,South America
Moringa Variant-708,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–8g/day,Mild heartburn,None known,Middle East
Moringa Variant-709,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–8g/day,Mild heartburn,Avoid with laxatives,India
Neem Variant-710,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–8g/day,Liver stress (overdose),None known,South America
Moringa Variant-711,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,None known,None known,India
Clove Variant-712,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–6g/day,Mild heartburn,None known,South America
Turmeric Variant-713,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–7g/day,Stomach upset,Avoid with laxatives,South America
Turmeric Variant-714,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–6g/day,None known,Enhances anticoagulants,Europe
Hibiscus Variant-715,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–6g/day,Dizziness,Avoid with laxatives,South America
Neem Variant-716,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–10g/day,Dizziness,None known,South America
Neem Variant-717,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–7g/day,Dizziness,None known,South America
Scent Leaf Variant-718,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–7g/day,Dizziness,Avoid with laxatives,Asia
Bitter Leaf Variant-719,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–7g/day,None known,May interact with blood thinners,Middle East
Garlic Variant-720,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–7g/day,Liver stress (overdose),Avoid with laxatives,South America
Turmeric Variant-721,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–6g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Bitter Leaf Variant-722,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–10g/day,Liver stress (overdose),None known,Middle East
Aloe Vera Variant-723,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–7g/day,Stomach upset,May interact with blood thinners,Asia
Aloe Vera Variant-724,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–8g/day,Mild heartburn,None known,Africa
Aloe Vera Variant-725,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–9g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Neem Variant-726,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–8g/day,Stomach upset,May interact with blood thinners,South America
Turmeric Variant-727,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–10g/day,Stomach upset,Avoid with laxatives,Africa
Clove Variant-728,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–9g/day,Mild heartburn,None known,Middle East
Bitter Leaf Variant-729,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–9g/day,Dizziness,None known,Middle East
Bitter Leaf Variant-730,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–7g/day,Stomach upset,None known,Africa
Hibiscus Variant-731,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–10g/day,None known,May interact with blood thinners,Asia
Hibiscus Variant-732,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–6g/day,Stomach upset,May interact with blood thinners,Europe
Moringa Variant-733,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–10g/day,Liver stress (overdose),Avoid with laxatives,Asia
Neem Variant-734,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–8g/day,Liver stress (overdose),Avoid with laxatives,South America
Ginger Variant-735,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–7g/day,Liver stress (overdose),Avoid with diabetes drugs,South America
Bitter Leaf Variant-736,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–8g/day,Dizziness,May interact with blood thinners,Europe
Moringa Variant-737,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–8g/day,Stomach upset,None known,Asia
Clove Variant-738,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–8g/day,Stomach upset,None known,Asia
Hibiscus Variant-739,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–9g/day,None known,May interact with blood thinners,Asia
Bitter Leaf Variant-740,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–8g/day,Dizziness,Avoid with diabetes drugs,South America
Turmeric Variant-741,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,None known,May interact with blood thinners,Africa
Moringa Variant-742,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–10g/day,Liver stress (overdose),None known,Europe
Aloe Vera Variant-743,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–7g/day,Mild heartburn,Enhances anticoagulants,South America
Garlic Variant-744,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–10g/day,Liver stress (overdose),Avoid with laxatives,Africa
Clove Variant-745,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–8g/day,None known,None known,Middle East
Moringa Variant-746,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–9g/day,Stomach upset,None known,India
Turmeric Variant-747,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Clove Variant-748,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–7g/day,Mild heartburn,None known,South America
Hibiscus Variant-749,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–7g/day,Stomach upset,None known,India
Neem Variant-750,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–10g/day,Mild heartburn,Avoid with diabetes drugs,India
Bitter Leaf Variant-751,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–6g/day,Liver stress (overdose),May interact with blood thinners,Asia
Garlic Variant-752,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,Stomach upset,Avoid with diabetes drugs,Europe
Ginger Variant-753,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–10g/day,None known,May interact with blood thinners,Asia
Clove Variant-754,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–7g/day,Liver stress (overdose),Avoid with laxatives,India
Garlic Variant-755,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–9g/day,None known,Avoid with laxatives,Europe
Moringa Variant-756,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–9g/day,Dizziness,Avoid with laxatives,Africa
Bitter Leaf Variant-757,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–6g/day,Dizziness,Avoid with diabetes drugs,India
Moringa Variant-758,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–9g/day,Stomach upset,Avoid with diabetes drugs,Asia
Hibiscus Variant-759,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–8g/day,Stomach upset,May interact with blood thinners,South America
Neem Variant-760,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–8g/day,Mild heartburn,May interact with blood thinners,Africa
Ginger Variant-761,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–9g/day,Mild heartburn,Avoid with laxatives,South America
Turmeric Variant-762,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–9g/day,Mild heartburn,Avoid with laxatives,Africa
Hibiscus Variant-763,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–6g/day,Dizziness,May interact with blood thinners,Asia
Aloe Vera Variant-764,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Stomach upset,Avoid with laxatives,India
Hibiscus Variant-765,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–8g/day,Liver stress (overdose),Enhances anticoagulants,South America
Neem Variant-766,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–6g/day,Mild heartburn,May interact with blood thinners,South America
Moringa Variant-767,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–9g/day,Stomach upset,Avoid with laxatives,India
Moringa Variant-768,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,None known,Enhances anticoagulants,Africa
Hibiscus Variant-769,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–6g/day,Dizziness,Avoid with diabetes drugs,Africa
Scent Leaf Variant-770,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–6g/day,Dizziness,None known,Europe
Turmeric Variant-771,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–10g/day,Liver stress (overdose),Enhances anticoagulants,India
Ginger Variant-772,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–9g/day,None known,Enhances anticoagulants,India
Turmeric Variant-773,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–10g/day,Mild heartburn,Enhances anticoagulants,South America
